Commons_link,Kannada_Wikisource_link
https://commons.wikimedia.org/wiki/File:ಪರಂತಪ ವಿಜಯ ೨.djvu,https://kn.wikisource.org/wiki/Index:ಪರಂತಪ ವಿಜಯ ೨.djvu
https://commons.wikimedia.org/wiki/File:ಪೂರ್ಣಕಲಾ.djvu,https://kn.wikisource.org/wiki/Index:ಪೂರ್ಣಕಲಾ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರಗತಿ ಅಥವಾ ದಾಸ್ಯ ವಿಮೋಚನ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರಗತಿ ಅಥವಾ ದಾಸ್ಯ ವಿಮೋಚನ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರಜ್ಞಾ ಸ್ವಯಂವರಂ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರಜ್ಞಾ ಸ್ವಯಂವರಂ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರತಾಪ ರುದ್ರದೇವ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರತಾಪ ರುದ್ರದೇವ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರತಾಪರುದ್ರದೇವ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರತಾಪರುದ್ರದೇವ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರಬಂಧಮಂಜರಿ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರಬಂಧಮಂಜರಿ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರೇಮ ಮಂದಿರ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರೇಮ ಮಂದಿರ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರೇಮಚಂದ್ರ ರಾಜವಿಲಾಸ .djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರೇಮಚಂದ್ರ ರಾಜವಿಲಾಸ .djvu
https://commons.wikimedia.org/wiki/File:ಬತ್ತೀಸಪುತ್ತಳಿ ಕಥೆ.djvu,https://kn.wikisource.org/wiki/Index:ಬತ್ತೀಸಪುತ್ತಳಿ ಕಥೆ.djvu
https://commons.wikimedia.org/wiki/File:ಬಾಳ ನಿಯಮ.djvu,https://kn.wikisource.org/wiki/Index:ಬಾಳ ನಿಯಮ.djvu
https://commons.wikimedia.org/wiki/File:ಬೃಹತ್ಕಥಾ ಮಂಜರಿ.djvu,https://kn.wikisource.org/wiki/Index:ಬೃಹತ್ಕಥಾ ಮಂಜರಿ.djvu
https://commons.wikimedia.org/wiki/File:ಭವತೀ ಕಾತ್ಯಾಯನೀ.djvu,https://kn.wikisource.org/wiki/Index:ಭವತೀ ಕಾತ್ಯಾಯನೀ.djvu
https://commons.wikimedia.org/wiki/File:ಭಾರತ ಸಾಧ್ವೀಮಣಿಯರ ಇತಿಹಾಸ ಮಂಜರಿ.djvu,https://kn.wikisource.org/wiki/Index:ಭಾರತ ಸಾಧ್ವೀಮಣಿಯರ ಇತಿಹಾಸ ಮಂಜರಿ.djvu
https://commons.wikimedia.org/wiki/File:ಭಾರತೀಯರ ಇತಿಹಾಸ (ಪ್ರಾಚೀನ).djvu,https://kn.wikisource.org/wiki/Index:ಭಾರತೀಯರ ಇತಿಹಾಸ (ಪ್ರಾಚೀನ).djvu
https://commons.wikimedia.org/wiki/File:ಭಾವ ಚಿಂತಾರತ್ನಂ.djvu,https://kn.wikisource.org/wiki/Index:ಭಾವ ಚಿಂತಾರತ್ನಂ.djvu
https://commons.wikimedia.org/wiki/File:ಭಾಷಾಮಯ ಧರ್ಮ ಸಿಂಧುಸಾರ.djvu,https://kn.wikisource.org/wiki/Index:ಭಾಷಾಮಯ ಧರ್ಮ ಸಿಂಧುಸಾರ.djvu
https://commons.wikimedia.org/wiki/File:ಭೋಜಮಹರಾಯನ ಚರಿತ್ರೆ .djvu,https://kn.wikisource.org/wiki/Index:ಭೋಜಮಹರಾಯನ ಚರಿತ್ರೆ .djvu
https://commons.wikimedia.org/wiki/File:ಮಡಿ-ಮೈಲಿಗೆಯ ಗುಟ್ಟು.djvu,https://kn.wikisource.org/wiki/Index:ಮಡಿ-ಮೈಲಿಗೆಯ ಗುಟ್ಟು.djvu
https://commons.wikimedia.org/wiki/File:ಮನ್ಗಾರಸಕವಿ ಜಯನ್ರಾಪಕಾವ್ಯಾನ್.djvu,https://kn.wikisource.org/wiki/Index:ಮನ್ಗಾರಸಕವಿ ಜಯನ್ರಾಪಕಾವ್ಯಾನ್.djvu
