Contributor/Author,Date Accessioned,Date Available,Date Issued,Link,Publisher,Rights,Subjects,Title,Filename,FileSize,Category,Language
Sadaasan'daraayaru Bhat'akal'a,2010-08-10T08:44:50Z,2010-08-10T08:44:50Z,1946//,http://oudl_osmania_ac_in/handle/OUDL/3255,Bhaalachan'dra Phaand-eikara,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Naal'ina Bhaaratiiya Tarund-aru,198259_OU_Naal'ina_Bhaaratiiya_Tarund-aru.pdf,6.489Mb,Publications,Kannada
Siitaadeivi Pa,2010-08-10T09:57:00Z,2010-08-10T09:57:00Z,1929//,http://oudl_osmania_ac_in/handle/OUDL/4213,Pa Siitaadeivi,IN_COPYRIGHT,GENERALITIES;Manuscripts;Rare and remarkable works,Hiigaagabeikei,200272_OU_Hiigaagabeikei.pdf,3.862Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T08:44:50Z,2010-08-10T08:44:50Z,1952//,http://oudl_osmania_ac_in/handle/OUDL/3256,Anan'd Bradarsa,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Hattu Makkal'a Taayi,198357_OU_Hattu_Makkal'a_Taayi.pdf,11.73Mb,Publications,Kannada
Kaaran't Shivaraama,2010-08-10T08:44:50Z,2010-08-10T08:44:50Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3257,Shivaraama Kaaran't,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Suul'iya San'saara,198299_OU_Suul'iya_San'saara.pdf,9.607Mb,Publications,Kannada
Aiyan'gaaraa Maasti Ven'kat'eisha,2010-08-10T08:44:51Z,2010-08-10T08:44:51Z,1930//,http://oudl_osmania_ac_in/handle/OUDL/3258,Satya Shudhanaa Pustaka Bhan'd'aara,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Kannad'ada Seive,198287_OU_Kannad'ada_Seive.pdf,4.146Mb,Publications,Kannada
Naaraayand-a Bil'l'aade Naashava,2010-08-10T08:44:51Z,2010-08-10T08:44:51Z,1930//,http://oudl_osmania_ac_in/handle/OUDL/3259,Karnd-aat'aka Saahitya Parishhattu,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Jeimsa Vibraam Gaaraapheild'ana Trxtiiya,198274_OU_Jeims ... raapheild'ana_Trxtiiya.pdf,11.96Mb,Publications,Kannada
Al'asin'garaachaarya,2010-08-10T09:57:01Z,2010-08-10T09:57:01Z,1913//,http://oudl_osmania_ac_in/handle/OUDL/4214,Al'asin'garaachaarya,OUT_OF_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,Shreimatii Parind-ayanaat'akan',200163_OU_Shreimatii_Parind-ayanaat'akan'.pdf,6.553Mb,Publications,Kannada
Krxshhnd-a Bit'ageiri,2010-08-10T08:44:52Z,2010-08-10T08:44:52Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3260,Bit'ageiri Krxshhnd-a,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Hal'l'igara Haad'ugal'u,198404_OU_Hal'l'igara_Haad'ugal'u.pdf,1.538Mb,Publications,Kannada
Mahaaraand-i Raada Naalvaru,2010-08-10T08:44:52Z,2010-08-10T08:44:52Z,1915//,http://oudl_osmania_ac_in/handle/OUDL/3261,Naalvaru Mahaaraand-i Raada,OUT_OF_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Bhaarata Svaadhviimand-iyara Itihaasa Man'jari,198307_OU_Bhaar ... yara_Itihaasa_Man'jari.pdf,7.393Mb,Publications,Kannada
Narasin'haachaara  Es Ji,2010-08-10T10:33:21Z,2010-08-10T10:33:21Z,1897/02/18,http://oudl_osmania_ac_in/handle/OUDL/4637,Es Ji Narasin'haachaara,OUT_OF_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Kaavya Saaran',200714_OU_Kaavya_Saaran'.pdf,14.10Mb,Publications,Kannada
Prahallaada Kulakarnd-i,2010-08-10T08:44:53Z,2010-08-10T08:44:53Z,1932//,http://oudl_osmania_ac_in/handle/OUDL/3262,Kulakarnd-i Prahallaada,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Raajahan'sa,198279_OU_Raajahan'sa.pdf,5.270Mb,Publications,Kannada
Krxshhnd-amuurti Naad'iga,2010-08-10T08:44:53Z,2010-08-10T08:44:53Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3263,Giitaa Saahitya Man'dira,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Nammakaagadagal'u 2,198293_OU_Nammakaagadagal'u_2.pdf,6.736Mb,Publications,Kannada
Jooshi Shan'kara Baal'adiiqs-ita,2010-08-10T08:44:53Z,2010-08-10T08:44:53Z,1921//,http://oudl_osmania_ac_in/handle/OUDL/3264,Di Karnaat'aka T'red'in'ga Kan'pani,OUT_OF_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Aravin'da Ghooshha,198365_OU_Aravin'da_Ghooshha.pdf,9.097Mb,Publications,Kannada
Gopaalakrxshhnd-ayaru Ke,2010-08-10T08:44:54Z,2010-08-10T08:44:54Z,1934//,http://oudl_osmania_ac_in/handle/OUDL/3265,Ke Gopaalakrxshhnd-ayaru,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Ban'gaarada D'aabu,198297_OU_Ban'gaarada_D'aabu.pdf,7.877Mb,Publications,Kannada
Anan'taachaarya Adya,2010-08-10T10:33:20Z,2010-08-10T10:33:20Z,1951/02/17,http://oudl_osmania_ac_in/handle/OUDL/4636,Adya Anan'taachaarya,IN_COPYRIGHT,TECHNOLOGY;Biotechnology,Charaka San'hite Bhaaga 3,200673_OU_Charaka_San'hite_Bhaaga_3.pdf,18.22Mb,Publications,Kannada
