Title,Author,Link,ReadOnline,BarCode,Year,FileFormat,Publisher,Source,DigitalPublisher,PublicationDate,ScanningCenter,Language,TotalPages,
Dwanyaloka Ondu Adhyayana,K.V.Narayana,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2040100046868,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data/upload/0046/873&first=1&last=352&barcode=2040100046868,2040100046868,1988,Tagged Image File Format,Kannada Sahithya Parishathu;Banalore,Poorna Prajna Samshodhanamandiram,Udl Ttd Tirupati,0000-00-00,ttd; s.v digital library,kannada ,352,
Echchatta Aagneiya Vishaya,Haridaasa En,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020027417,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0197/513&first=1&last=141&barcode=2030020027417,2030020027417,1942,Tagged Image File Format,Vishvasaahityamaala,Osmania University,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,141,
Edegalu Heiluva Kannaada Kate,Jooshi Shan Baa,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028316,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/303&first=1&last=261&barcode=2030020028316,2030020028316,1947,Tagged Image File Format,Maadhava Ballaal'a Ban'dhugal'u,Osmania University,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,261,
Editors On Editing,Jooshi Shan Baa,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990129360,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/rawdataupload1/upload/0128/022&first=1&last=118&barcode=99999990129360,99999990129360,1994,Tagged Image File Format,National Book Trust,NBT,Digital Library of India,10/25/2004,cdac;noida,kannada ,118,
Editors On Editing,NULL,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990175716,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data1/upload/0030/026&first=1&last=118&barcode=99999990175716,99999990175716,1994,NULL,National Book Trust,NBT,Digital Library of India,10/25/2004,cdac;noida,kannada ,118,
Eeshavasya_Vrutti,venubha,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2040100046869,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data/upload/0046/874&first=1&last=77&barcode=2040100046869,2040100046869,1994,NULL,Nava Seva Sangha; Bangalore,Poorna Prajna Samshodhanamandiram,Udl Ttd Tirupati,0000-00-00,ttd; s.v digital library,kannada ,77,
Eeshavasyopanishat,Adhidevananda Swami,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2040100046870,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data/upload/0046/875&first=1&last=32&barcode=2040100046870,2040100046870,1965,NULL,Sri Ramakrishna Ashram; Mysore,Poorna Prajna Samshodhanamandiram,Udl Ttd Tirupati,0000-00-00,ttd; s.v digital library,kannada ,32,
Eeshavasyopanishat,Marki,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2040100046872,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data/upload/0046/877&first=1&last=38&barcode=2040100046872,2040100046872,1965,NULL,Padum Gala Var; Udipi,Poorna Prajna Samshodhanamandiram,Udl Ttd Tirupati,0000-00-00,ttd; s.v digital library,kannada ,38,
Endangered Animals Of India And Their Conservation,Nayar S. M.,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990129335,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/rawdataupload1/upload/0127/997&first=1&last=126&barcode=99999990129335,99999990129335,1994,NULL,National Book Trust,NBT,Digital Library of India,11/1/2004,cdac;noida,kannada ,126,
Eniya MettaLugalu,Unknown,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990129296,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/rawdataupload1/upload/0127/958&first=1&last=622&barcode=99999990129296,99999990129296,1977,NULL,National Book Trust,NBT,Digital Library of India,1/24/2005,cdac;noida,kannada ,622,
